kop#, exval [s], sigma [s], n, temp [C], humid [%]
3, 0.053414873432366096, 0.0013359721290255987, 245, 29.120000, 27.830000
4, 0.053338566195709, 0.0012742372412052477, 117, 31.350000, 22.139999
5, 0.05437799402321644, 0.0014887850447473114, 302,
